MJACCTTYPCD,PHUONG THUC CHO VAY,LOAIKH,SEX,BASE_BAL,DUNO_QD,CURRENCYCD,THOIHAN,DESC_TIME,MJACCTTYPDESC,PARENTORGNAME,LAISUAT,MUCDICHVAY,NHOMNOMOI
CNS,TRA GOP,1,1,787127020.0,851714900.0,VND,112,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,12.0,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,333388030.0,142450650.0,VND,240,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1811-CV mua Xe may tra gop,1
CNS,TRA GOP,1,1,311014800.0,357000690.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,CV TUNG LAN LAI DINH KY,1,1,35600000.0,35600000.0,VND,37,Vay trung han,Vay Tieu dung,KLB - CN KHANH HOA,24.0,1830-CV Sua chua Nha de o,5
CNS,TRA GOP,1,1,430174020.0,88246180.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,178967050.0,289814360.0,VND,366,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1894-Kinh doanh Ca the,1
CNS,TRA GOP,1,1,428882950.0,86435880.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,18.0,1900-SX-DV Tu t.dung Gia dinh,1
CNS,CV TUNG LAN LAI DINH KY,1,1,90000000.0,90000000.0,VND,12,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,17.4,1870-CV TG Sinh hoat Tieu dung,5
CNS,TRA GOP,1,1,559795880.0,560965250.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,0.0,1850-CV the chap STK,1
CNS,TRA GOP,1,1,359505410.0,418045960.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,458450040.0,221116190.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,327933780.0,238658500.0,VND,364,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1894-Kinh doanh Ca the,1
CNS,TRA GOP,1,1,198700670.0,470419360.0,VND,120,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,13.2,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,501930580.0,247898450.0,VND,241,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,CV TUNG LAN LAI DINH KY,1,1,53360000.0,8360000.0,VND,49,Vay trung han,Vay Tieu dung,KLB - CN KHANH HOA,15.0,1830-CV Sua chua Nha de o,5
CNS,TRA GOP,1,1,655338810.0,16620480.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,8.8,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,444538730.0,371299370.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1811-CV mua Xe may tra gop,1
CNS,TRA GOP,1,1,379126690.0,43850520.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1811-CV mua Xe may tra gop,1
CNS,TRA GOP,1,1,386992480.0,148970440.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1811-CV mua Xe may tra gop,1
CNS,TRA GOP,1,1,22736600.0,235799760.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,45818260.0,122524751.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,502246650.0,338610100.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,615435020.0,440210830.0,VND,238,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,15.48,1900-SX-DV Tu t.dung Gia dinh,1
CNS,CV TUNG LAN LAI DINH KY,1,0,23360000.0,20870000.0,VND,37,Vay trung han,Vay Tieu dung,KLB - CN KHANH HOA,19.2,1830-CV Sua chua Nha de o,5
CNS,TRA GOP,1,1,323850520.0,392362770.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,11.43,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,303894890.0,170117574.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1870-CV TG Sinh hoat Tieu dung,1
CML,CV TUNG LAN LAI DINH KY,1,0,80000000.0,80000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN KHANH HOA,25.2,"0711-Ban buon L.thuc,T.pham",5
CNS,TRA GOP,1,1,549287510.0,385191300.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,12.75,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,616061040.0,236446220.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,11.52,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,395573050.0,268076700.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,441585500.0,444507820.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,354729530.0,217196920.0,VND,142,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,12.0,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,519195250.0,934388510.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,414639350.0,217945860.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,519236970.0,230752460.0,VND,231,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,12.0,1900-SX-DV Tu t.dung Gia dinh,1
CNS,TRA GOP,1,1,392149230.0,422046450.0,VND,243,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,413632440.0,397059150.0,VND,146,Vay ngan han,Vay Tieu dung,KLB - CN KHANH HOA,12.84,1850-CV the chap STK,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,45000000.0,45000000.0,VND,24,Vay trung han,Vay Tieu dung,KLB - CN KHANH HOA,20.0,0111-Nong nghiep,5
CNS,TRA GOP,1,0,20000000.0,729871830.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN SAI GON,14.94,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,20000000.0,275972400.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,16.0,1870-CV TG Sinh hoat Tieu dung,1
CNS,TRA GOP,1,1,40000000.0,223381940.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN DA NANG,18.0,1811-CV mua Xe may tra gop,1
CNS,TRA GOP,1,1,430724990.0,982073070.0,VND,170,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,12.6,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,375316230.0,130120840.0,VND,170,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,14.94,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,121860470.0,60289970.0,VND,34,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,285753540.0,299316250.0,VND,180,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,282515650.0,857314080.0,VND,124,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.53,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,431700650.0,629685050.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,210894430.0,40606080.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,276441290.0,851448410.0,VND,364,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,16.0,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,258908130.0,592680990.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,16.0,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,290393990.0,202912870.0,VND,367,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,16.0,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,202510140.0,122505480.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,16.0,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,48000000.0,142972000.0,VND,134,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,16.92,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,327696500.0,412224760.0,VND,122,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,215212730.0,501248620.0,VND,123,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,330853700.0,790857810.0,VND,128,Vay ngan han,Vay Tieu dung,KLB - CN BINH DUONG,15.48,"1899-DV Ca nhan,gia dinh khac",1
CNS,TRA GOP,1,1,336616540.0,372866290.0,VND,244,Vay ngan han,Vay Tieu dung,KLB - CN SAI GON,16.0,1850-CV the chap STK,1
CNS,TRA GOP,1,1,272069640.0,69223080.0,VND,365,Vay ngan han,Vay Tieu dung,KLB - CN SAI GON,16.92,1870-CV TG Sinh hoat Tieu dung,1
